#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      508.7   654.7    68.9   115.1   137.6   321.5   412.6   474.7   533.4   628.0  1240.8  2035.3  2698.0  4215.7 16830.2  60826.3    60880  1622035082880  1622035093137
read      474.6   638.4    68.9   110.4   129.1   297.1   383.7   437.4   488.0   561.0   924.6  1980.9  2584.0  4730.6 16779.3  60915.2    60890  1622035094639  1622035104902
read      475.6   620.7    68.9   114.3   133.9   291.4   389.4   468.4   549.4   739.2  1246.8  1689.4  2228.0  5102.4 17589.8  60897.6    60900  1622035106404  1622035116678
read      505.5   708.9    68.9   112.6   134.0   314.0   401.9   462.9   518.3   602.5  1239.5  2064.8  2740.4  5581.9 21257.1  60820.9    60910  1622035118180  1622035128438
read      468.8   615.3    68.9   110.8   129.8   292.9   376.2   435.5   490.3   571.3  1057.0  1937.2  2466.8  4424.2 15954.1  60934.1    60920  1622035129940  1622035140228
read      462.3   668.4    63.8   108.0   125.5   281.2   363.6   423.2   476.3   556.1   864.9  1951.6  2459.2  5099.5 20261.0  60865.7    60930  1622035141730  1622035151989
read      483.5   580.1    68.9   116.1   137.0   300.9   393.9   467.2   543.3   711.6  1296.2  1764.7  2346.9  4102.0 14785.6  61005.8    60940  1622035153491  1622035163751
read      480.1   685.7    68.9   111.2   130.8   292.9   377.8   439.8   497.1   585.9  1070.0  1978.7  2539.5  5631.0 21325.0  60988.4    60950  1622035165253  1622035175502
read      463.8   595.7    68.9   109.5   127.8   288.2   371.9   427.2   477.4   553.7   982.6  1960.4  2474.0  3794.4 12210.0  60853.3    60960  1622035177004  1622035187275
read      493.2   732.8    68.9   112.4   133.6   307.2   391.8   445.9   497.1   576.2  1155.9  2028.1  2580.1  6656.8 25404.5  61083.0    60970  1622035188777  1622035199040
read      488.7   667.3    68.9   111.8   132.6   306.9   390.3   444.2   493.8   567.6  1180.4  2035.8  2572.0  5105.0 15895.2  60911.3    60980  1622035200542  1622035210802
read      485.3   625.1    68.9   115.4   136.4   301.1   390.0   459.4   526.3   663.8  1293.4  1826.8  2362.1  4767.8 15164.5  61091.5    60990  1622035212304  1622035222557
read      488.7   661.8    68.9   111.9   132.1   306.3   389.8   444.2   495.5   573.3  1324.6  2032.8  2566.5  3816.6 20355.3  60925.1    61000  1622035224059  1622035234321
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.86%,36.68%,100.00%
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      469.1   608.4    68.9   111.3   129.3   291.8   375.5   433.1   487.5   575.6  1296.3  1883.6  2435.1  4260.2 14495.3  60042.0    60000  1622035240915  1622035251240
read      508.7   943.1    68.9   111.9   131.3   298.5   382.6   442.0   496.6   582.2  1453.3  2025.4  2573.7 12225.0 33748.4  60059.0    60010  1622035252742  1622035263038
read      498.1   627.9    74.4   117.2   137.3   304.1   401.4   480.3   563.9   778.9  1332.2  1805.0  2412.7  4146.8 18029.8  60068.1    60020  1622035264541  1622035274825
read      527.3   876.9    68.9   112.9   133.0   302.4   395.7   468.5   547.0   712.0  1500.2  2011.8  2658.9  8435.5 31998.4  60004.9    60030  1622035276327  1622035286596
